"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-05-29 03:18:06.000,miners,0,0,0,0,8155,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,17184,39.4,bittensor,None,None,None,0,0,miners,79,240,66578,39.4,1,None,3953601,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,103,0,0,8353,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,7362,45.9,bittensor,None,None,None,0,0,miners,79,243,7362,45.9,1,None,3894008,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,108,46138,13831,329,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-6980,0.113,bittensor,None,None,None,11891,0,miners,79,224,-6980,0.113,1,None,6305113,0,0,1.66e-13,20260528_1007,validator_metrics,5905623,3401,1770355,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,113,0,0,8445,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,17007,38.7,bittensor,None,None,None,0,0,miners,79,239,17007,38.7,1,None,3866523,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,116,11089,5291,8288,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,4620,50.5,bittensor,None,None,None,625,0,miners,79,237,4620,50.5,1,None,3913790,0,0,0,20260528_1007,validator_metrics,1419368,-279,677247,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,117,22683,313,17311,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,9197,102,bittensor,None,None,None,13728,0,miners,79,229,9197,102,1,None,1189753,0,0,6.75e-15,20260528_1007,validator_metrics,2903460,158,40066,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,124,51578,25635,8227,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,6602,39.0,bittensor,None,None,None,879,293,miners,79,225,6602,39.0,1,None,3929520,0,0,4.78e-14,20260528_1007,validator_metrics,6602039,-2400,3281230,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,126,0,0,8519,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,27193,53.2,bittensor,None,None,None,0,0,miners,79,235,27193,53.2,1,None,3844311,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,128,29384,4881,16013,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,13007,106,bittensor,None,None,None,293,0,miners,79,222,13007,106,1,None,1589768,0,0,6.99e-13,20260528_1007,validator_metrics,3761098,4655,624744,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,130,273,7.09,8215,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,1902,41.7,bittensor,None,None,None,0,0,miners,79,242,1902,41.7,1,None,3935147,0,0,0,20260528_1007,validator_metrics,34963,-0.506,908,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-29 03:18:06.000,miners,0,134,26973,1289,17974,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,25097,112,bittensor,None,None,None,4308,0,miners,79,228,25097,112,1,None,995394,0,0,1.08e-14,20260528_1007,validator_metrics,3452511,1695,164961,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
