"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-05-27 18:01:59.000,miners,0,0,0,0,8246,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-63662,52.3,bittensor,None,None,None,0,0,miners,79,231,-14269,52.3,1,None,3926345,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,10,0,0,8293,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,173855,46.9,bittensor,None,None,None,0,0,miners,79,235,173855,46.9,1,None,3912134,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,113,0,0,8428,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-62922,19.5,bittensor,None,None,None,0,0,miners,79,245,-62922,19.5,1,None,3871698,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,114,483658,237848,10825,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-20408,78.3,bittensor,None,None,None,207309,100284,miners,79,246,-20408,78.3,1,None,3135508,0,0,0,20260521_0718,validator_metrics,61908222,-40857,30444519,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,117,2846,0,7119,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,3687,40.9,bittensor,None,None,None,0,0,miners,79,248,3687,40.9,1,None,4254241,0,0,0,20260521_0718,validator_metrics,364336,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,125,41545,14248,2608,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-2986,16.6,bittensor,None,None,None,21213,7747,miners,79,220,-2986,16.6,1,None,5565405,0,0,5.69e-14,20260521_0718,validator_metrics,5317735,36.0,1823728,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,127,47329,16877,2609,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,7751,12.4,bittensor,None,None,None,28574,10168,miners,79,213,7751,12.4,1,None,5566894,0,0,2.97e-13,20260521_0718,validator_metrics,6058087,-24.3,2160199,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,128,12208,8.68,3054,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,583,47.4,bittensor,None,None,None,1216,0,miners,79,249,583,47.4,1,None,5442229,0,0,0,20260521_0718,validator_metrics,1562622,3.77,1111,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,135,0,0,8095,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,14518,35.6,bittensor,None,None,None,0,0,miners,79,250,14518,35.6,1,None,3971545,0,0,0,20260521_0718,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-27 18:01:59.000,miners,0,14,2577,0,6927,0,0,None,79,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,3427,51.3,bittensor,None,None,None,0,0,miners,79,237,3427,51.3,1,None,4313570,0,0,0,20260521_0718,validator_metrics,329851,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
