"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-05-28 22:20:32.000,miners,0,0,0,0,8155,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,10105,-10.1,bittensor,None,None,None,0,0,miners,79,221,59499,-10.1,1,None,3953601,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,10,6337,419,8843,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-1093,-7.80,bittensor,None,None,None,738,0,miners,79,226,-1093,-7.80,1,None,3742912,0,0,0,20260528_1007,validator_metrics,811181,-169,53624,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,103,0,0,8353,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-32.1,-8.47,bittensor,None,None,None,0,0,miners,79,242,-32.1,-8.47,1,None,3894008,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,108,31209,6662,577,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-6408,-0.686,bittensor,None,None,None,1043,0,miners,79,215,-6408,-0.686,1,None,6231432,0,0,6.46e-14,20260528_1007,validator_metrics,3994815,1446,852767,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,113,0,0,8445,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,9297,-8.98,bittensor,None,None,None,0,0,miners,79,239,9297,-8.98,1,None,3866523,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,117,8423,0,11532,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-1995,-10.7,bittensor,None,None,None,3158,0,miners,79,238,-1995,-10.7,1,None,2933576,0,0,0,20260528_1007,validator_metrics,1078164,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,124,301,0,8264,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,1673,-7.36,bittensor,None,None,None,293,0,miners,79,236,1673,-7.36,1,None,3920831,0,0,0,20260528_1007,validator_metrics,38525,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,126,0,0,8519,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,19477,-10.3,bittensor,None,None,None,0,0,miners,79,235,19477,-10.3,1,None,3844311,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,128,14455,545,14082,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-800,-11.1,bittensor,None,None,None,147,0,miners,79,234,-800,-11.1,1,None,2169648,0,0,0,20260528_1007,validator_metrics,1850282,526,69754,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,134,7550,46.3,11151,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,12111,-11.6,bittensor,None,None,None,2341,0,miners,79,233,12111,-11.6,1,None,3051612,0,0,0,20260528_1007,validator_metrics,966425,48.1,5930,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,135,7776,758,10599,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-983,-10.7,bittensor,None,None,None,224,0,miners,79,217,-983,-10.7,1,None,3213278,0,0,4.68e-15,20260528_1007,validator_metrics,995307,71.8,96992,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,14,8126,0,11428,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-2780,-10.6,bittensor,None,None,None,3321,0,miners,79,220,-2780,-10.6,1,None,2965373,0,0,0,20260528_1007,validator_metrics,1040165,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,151,0,0,8294,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,1562,-7.24,bittensor,None,None,None,0,0,miners,79,222,1562,-7.24,1,None,3911693,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,155,6603,400,8820,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-624,-8.42,bittensor,None,None,None,455,0,miners,79,232,-624,-8.42,1,None,3749517,0,0,0,20260528_1007,validator_metrics,845167,-175,51211,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,167,9558,69.0,12278,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,4702,-6.47,bittensor,None,None,None,3438,0,miners,79,237,4702,-6.47,1,None,2712593,0,0,0,20260528_1007,validator_metrics,1223368,77.5,8836,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,177,6749,412,9106,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-864,-6.52,bittensor,None,None,None,304,0,miners,79,240,-864,-6.52,1,None,3663459,0,0,0,20260528_1007,validator_metrics,863895,-163,52762,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,180,729,197,8568,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,158,-4.90,bittensor,None,None,None,299,0,miners,79,241,158,-4.90,1,None,3829572,0,0,0,20260528_1007,validator_metrics,93267,-5.28,25192,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,194,17012,1062,1885,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,324,-2.54,bittensor,None,None,None,680,0,miners,79,246,324,-2.54,1,None,5842848,0,0,0,20260528_1007,validator_metrics,2177556,-222,135890,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-05-28 22:20:32.000,miners,0,195,0,0,8344,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,8492,-7.03,bittensor,None,None,None,0,0,miners,79,247,8492,-7.03,1,None,3896775,0,0,0,20260528_1007,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
